College,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
,,,,,,,,,,,,,,,,,,,,,,,,,
"University Visveswariah College of Engineering, Bangalore",CE,32617,--,33980,33564,38789,37186,42600,--,47534,21850,--,28547,26863,--,31826,20856,24818,26485,40245,47956,53038,37947,--,--
"University Visveswariah College of Engineering, Bangalore",CS,7032,--,13014,7113,7383,9068,7484,--,--,4922,--,6454,3719,--,--,3392,3481,5739,15666,37041,29121,9692,--,--
"University Visveswariah College of Engineering, Bangalore",EC,11404,--,--,9254,--,12319,9546,10462,--,7167,--,--,7401,--,--,5679,8595,9854,16090,--,24851,8554,--,15216
"University Visveswariah College of Engineering, Bangalore",EE,17810,--,--,21729,25456,33634,13579,--,--,11311,--,--,13926,--,20377,11015,19791,15491,28846,32980,37275,22626,--,--
"University Visveswariah College of Engineering, Bangalore",IE,13038,--,--,8203,--,14670,14525,--,--,5604,9832,--,6041,--,--,5544,6873,9261,26960,--,37577,10122,--,30432
"University Visveswariah College of Engineering, Bangalore",ME,24164,70196,38960,25253,--,41270,28802,--,91220,20433,--,--,24035,25190,38983,17018,21862,22031,36185,--,47592,23647,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,
S K S J T Institute of Engineering. Bangalore,CE,44299,--,44785,46365,--,47028,66538,--,--,43822,--,--,43605,--,45077,38625,41750,44317,58456,62879,63241,57850,--,--
S K S J T Institute of Engineering. Bangalore,CS,23453,--,--,24717,43478,30288,21411,--,60520,19789,--,21462,17839,--,--,17731,19021,20228,39646,--,44960,18766,--,--
S K S J T Institute of Engineering. Bangalore,EC,40088,--,--,35287,41900,39173,38443,--,--,23746,--,--,25405,--,--,22924,26345,26577,53944,88050,59903,30494,--,93371
S K S J T Institute of Engineering. Bangalore,ST,86016,--,--,85044,--,99669,--,--,--,--,--,--,80503,--,--,67594,71458,75481,91641,--,--,77793,--,--
S K S J T Institute of Engineering. Bangalore,TX,89835,--,--,110056,--,136368,90280,,--,72576,--,--,94539,136880,--,71367,--,92766,119521,--,125306,--,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,
"B M S College of Engineering Basavanagudi,Bangalore",CE,33282,--,48014,21115,--,35119,27066,--,--,12778,--,--,15961,--,20488,12756,15069,20418,25741,45643,59758,17941,--,--
"B M S College of Engineering Basavanagudi,Bangalore",EC,5961,--,--,3066,7360,7120,2516,--,20838,2280,--,--,3060,--,5471,1788,3129,2301,15638,--,18995,8488,--,--
"B M S College of Engineering Basavanagudi,Bangalore",EE,9356,--,--,10867,--,14242,11692,--,--,7285,--,11400,7824,17975,--,5138,10504,10655,34739,--,38860,23434,--,--
"B M S College of Engineering Basavanagudi,Bangalore",IM,50704,--,--,42552,--,47198,95319,--,--,34349,--,--,43626,--,--,25599,33551,36176,104851,--,112370,88763,--,--
"B M S College of Engineering Basavanagudi,Bangalore",ME,19956,--,--,18158,--,20997,45103,--,--,11046,22385,23062,7156,--,15627,5535,18660,9774,30365,--,58454,28603,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,
BMS Institute of Technology,AI,--,--,--,11460,--,24099,12062,--,--,9433,--,--,12383,--,--,7675,13783,15531,46761,--,63130,48276,--,--
BMS Institute of Technology,CE,34346,--,--,70328,--,--,126554,--,--,53655,--,--,36034,--,--,33361,--,56731,61194,--,--,--,--,95760
BMS Institute of Technology,CS,11885,--,24829,12208,13702,14754,16075,--,22251,7148,--,--,11586,--,14982,6867,13189,12770,33631,69554,42827,26147,--,--
BMS Institute of Technology,EC,14792,--,--,22014,24016,30211,17990,--,27585,14160,--,19653,15766,--,--,13027,15930,19487,43105,81103,128424,43629,--,73729
BMS Institute of Technology,EE,27613,--,--,31211,--,46958,30553,--,--,23756,--,--,26614,--,--,21883,40185,31479,50283,--,73997,--,--,--
BMS Institute of Technology,IE,19568,37869,58120,25217,--,50582,13268,--,--,15433,--,--,15074,22196,20905,11558,17081,20399,53689,--,90135,41477,--,--
BMS Institute of Technology,ME,41139,--,--,67024,--,--,42215,--,--,32168,--,--,41143,--,--,25868,47750,44399,61651,--,85236,--,--,--
BMS Institute of Technology,TC,58093,--,--,41179,--,--,--,--,--,42728,--,49708,33114,--,--,32619,--,43657,76792,--,--,96150,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,
Bangalore Institute of Technology,CE,55337,--,--,79351,109629,128746,68315,--,--,48752,--,--,57093,--,60047,47439,50166,58439,97574,136573,140903,56373,--,--
Bangalore Institute of Technology,CS,11036,--,13516,9704,15585,10209,8855,--,22011,4906,--,--,6742,--,7874,4653,8861,7051,31746,53836,41713,13423,--,--
Bangalore Institute of Technology,EC,14987,--,33460,11198,--,13643,13403,--,--,7299,--,13466,8929,21407,11684,6957,12326,11407,38293,--,43253,35520,--,--
Bangalore Institute of Technology,EE,19253,20883,--,21094,--,30898,24621,--,--,16917,--,--,16164,--,--,15337,--,20006,59509,--,--,--,--,--
Bangalore Institute of Technology,EL,--,--,--,49585,--,--,--,--,--,60229,--,--,66051,--,--,44692,50409,46890,137328,--,--,--,--,--
Bangalore Institute of Technology,IE,7861,--,--,11593,--,13509,15714,33012,--,6626,--,--,6911,--,--,5565,--,7930,30590,--,41404,--,--,--
Bangalore Institute of Technology,IM,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138185,--,--,--,--,--,--,--,--
Bangalore Institute of Technology,ME,84989,--,--,59135,--,73505,98382,--,--,44401,--,63969,48560,--,--,38756,63022,60408,100435,--,--,79511,--,94583
Bangalore Institute of Technology,TC,25872,--,--,50401,--,--,71633,--,--,36988,--,--,41730,--,--,24834,--,52159,85581,--,--,80525,--,--
