CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",CE,32617,--,33980,33564,38789,37186,42600,--,47534,21850,--,28547,26863,--,31826,20856,24818,26485,40245,47956,53038,37947,--,--,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",CS,7032,--,13014,7113,7383,9068,7484,--,--,4922,--,6454,3719,--,--,3392,3481,5739,15666,37041,29121,9692,--,--,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",EC,11404,--,--,9254,--,12319,9546,10462,--,7167,--,--,7401,--,--,5679,8595,9854,16090,--,24851,8554,--,15216,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",EE,17810,--,--,21729,25456,33634,13579,--,--,11311,--,--,13926,--,20377,11015,19791,15491,28846,32980,37275,22626,--,--,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",IE,13038,--,--,8203,--,14670,14525,--,--,5604,9832,--,6041,--,--,5544,6873,9261,26960,--,37577,10122,--,30432,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",ME,24164,70196,38960,25253,--,41270,28802,--,91220,20433,--,--,24035,25190,38983,17018,21862,22031,36185,--,47592,23647,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E002,S K S J T Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",CE,44299,--,44785,46365,--,47028,66538,--,--,43822,--,--,43605,--,45077,38625,41750,44317,58456,62879,63241,57850,--,--,,,,
E002,S K S J T Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",CS,23453,--,--,24717,43478,30288,21411,--,60520,19789,--,21462,17839,--,--,17731,19021,20228,39646,--,44960,18766,--,--,,,,
E002,S K S J T Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",EC,40088,--,--,35287,41900,39173,38443,--,--,23746,--,--,25405,--,--,22924,26345,26577,53944,88050,59903,30494,--,93371,,,,
